Venue,Serial,Port,Location,Group,bathroomLocationOnNetgear
Capital One Arena,00000000de8b7df2,N/A,226M 05,226M,226M
Capital One Arena,000000000c810c10,7,228W 01,228W,228W
Capital One Arena,00000000c9933f77,N/A,228W 02*,228W,228W
Capital One Arena,0000000064d705ce,4,228W 03*,228W,228W
Capital One Arena,000000003d0ed82b,N/A,228W 04,228W,228W
Capital One Arena,00000000aba39afa,3,404W 01,404W,404W
Capital One Arena,000000008bbe995d,N/A,404W 02,404W,404W
Capital One Arena,00000000cc470cf1,N/A,404W 03*,404W,404W
Capital One Arena,0000000065868f38,8,404W 04*,404W,404W
Capital One Arena,000000004b9a9676,14,404W 05,404W,404W
Capital One Arena,000000001770fc22,11,404W 06,404W,404W
Capital One Arena,00000000cd5dabb1,3,406M 01,406M,406M
Capital One Arena,0000000090f9f01e,N/A,406M 02,406M,406M
Capital One Arena,000000003a990541,N/A,406M 03,406M,406M
Capital One Arena,000000008d68b68f,N/A,406M 04*,406M,406M
Capital One Arena,0000000058f59db8,6,406M 05,406M,406M
Capital One Arena,000000005bccb96a,11,406M 06,406M,406M
Capital One Arena,0000000085d1a7c0,10,406M 07,406M,406M
Capital One Arena,00000000144779f1,18,406M 08*,406M,406M
Capital One Arena,000000006b903bd8,25,406M 09,406M,406M
Capital One Arena,00000000b4cd6b54,N/A,406M 10,406M,406M
Capital One Arena,00000000bf0983ea,N/A,406M 11,406M,406M
Capital One Arena,00000000b1a0341d,N/A,406M 12,406M,406M
Capital One Arena,00000000ed63c5b8,N/A,406M 13*,406M,406M
Capital One Arena,00000000beab4bbb,N/A,413W 01*,413W,413W
Capital One Arena,00000000e311da97,N/A,413W 02,413W,413W
Capital One Arena,0000000059225afa,4,413W 03*,413W,413W
Capital One Arena,00000000aba72685,7,413W 04,413W,413W
Capital One Arena,0000000049aa20ef,N/A,415M 01,415M,415M
Capital One Arena,00000000a68f027a,7,415M 02,415M,415M
Capital One Arena,0000000027a67845,N/A,415M 03,415M,415M
Capital One Arena,00000000ecbcab0a,14,415M 04*,415M,415M
Capital One Arena,62138606,N/A,415M 05,415M,415M
Capital One Arena,000000002917c10a,17,415M 06,415M,415M
Capital One Arena,000000004af0fa61,N/A,415M 07*,415M,415M
Capital One Arena,0000000020d597dc,4,415M 08,415M,415M
Capital One Arena,00000000a82d0ac8,N/A,415M 09,415M,415M
Capital One Arena,000000000ffcc744,12,415M 10,415M,415M
Capital One Arena,85276687,N/A,419W 01,419W,419W
Capital One Arena,00000000633ef747,N/A,419W 02*,419W,419W
Capital One Arena,00000000a0dd50a2,11,419W 03*,419W,419W
Capital One Arena,00000000406f27c3,7,419W 04,419W,419W
Capital One Arena,00000000049d33ad,N/A,419W 05,419W,419W
Capital One Arena,000000008aa033e5,N/A,422M 01,422M,422M
Capital One Arena,00000000ea820856,7,422M 02,422M,422M
Capital One Arena,00000000e07bc0bf,N/A,422M 03*,422M,422M
Capital One Arena,00000000fd019689,11,422M 04,422M,422M
Capital One Arena,00000000f0953abb,15,422M 05,422M,422M
Capital One Arena,00000000b7652c20,19,422M 06,422M,422M
Capital One Arena,0000000000cae672,4,422M 07*,422M,422M
Capital One Arena,00000000cce35d10,23,422M 08,422M,422M
Capital One Arena,00000000d4f8e036,N/A,422M 09,422M,422M
Capital One Arena,000000007a1601a7,10,422M 10*,422M,422M
Capital One Arena,00000000d2f04f66,N/A,422M 11,422M,422M
Capital One Arena,45802830,N/A,422M 12,422M,422M
Capital One Arena,0000000008feae91,39,422M 13,422M,422M
Capital One Arena,0000000046f4fe3d,42,422M 14,422M,422M
Capital One Arena,00000000f018a7cf,14,428W 01,428W,428W
Capital One Arena,000000004a4c3263,11,428W 02,428W,428W
Capital One Arena,000000004e12f7e7,N/A,428W 03*,428W,428W
Capital One Arena,00000000eae227cb,N/A,428W 04*,428W,428W
Capital One Arena,000000006d9c7fb6,7,428W 05,428W,428W
Capital One Arena,00000000abcadd10,1,428W 06,428W,428W
Capital One Arena,00000000d039053f,3,430M 01,430M,430M
Capital One Arena,000000000406584e,N/A,430M 02,430M,430M
Capital One Arena,0000000096b8b545,11,430M 03,430M,430M
Capital One Arena,000000007f7df27c,44,430M 04*,430M,430M
Capital One Arena,000000001da4d3c6,N/A,430M 05,430M,430M
Capital One Arena,00000000910db6b7,N/A,430M 06,430M,430M
Capital One Arena,000000002da5d9b8,N/A,430M 07*,430M,430M
Capital One Arena,000000005432316d,N/A,430M 08,430M,430M
Capital One Arena,000000007197ead6,25,430M 09,430M,430M
Capital One Arena,000000007fa3cffc,N/A,430M 10,430M,430M
Capital One Arena,00000000fd0725c2,N/A,430M 11*,430M,430M
Capital One Arena,00000000718fed0c,N/A,430M 12,430M,430M
Capital One Arena,0000000094cc433e,N/A,430M 13,430M,430M
Capital One Arena,0000000051f751aa,41,430M 14,430M,430M
Dicks Sporting Goods Park,1000000099ae0f2d,N/A,102M 01,102M,102M
Dicks Sporting Goods Park,10000000c0dfeb71,N/A,102M 02,102M,102M
Dicks Sporting Goods Park,100000008db23224,N/A,102M 03,102M,102M
Dicks Sporting Goods Park,10000000d87f5494,N/A,102M 04,102M,102M
Dicks Sporting Goods Park,100000001cb38a40,N/A,102M 05,102M,102M
Dicks Sporting Goods Park,1000000058166956,N/A,102M 06,102M,102M
Dicks Sporting Goods Park,100000005c281f6f,N/A,102M 07,102M,102M
Dicks Sporting Goods Park,100000000f722d38,N/A,102M 08,102M,102M
Dicks Sporting Goods Park,100000007a6cfbf9,N/A,102M 09,102M,102M
Dicks Sporting Goods Park,10000000df2d2727,N/A,102M 10,102M,102M
Dicks Sporting Goods Park,100000009022d1ce,N/A,102M 11,102M,102M
Dicks Sporting Goods Park,100000008a70ba22,N/A,102M 12,102M,102M
Dicks Sporting Goods Park,10000000444715c7,N/A,102M 13,102M,102M
Dicks Sporting Goods Park,10000000fa9af7af,N/A,102M 14,102M,102M
Dicks Sporting Goods Park,1000000034b93ac0,N/A,102M 15,102M,102M
Dicks Sporting Goods Park,1000000067302075,N/A,102M 16,102M,102M
Dicks Sporting Goods Park,10000000f05cb906,N/A,102M 17,102M,102M
Dicks Sporting Goods Park,1000000089ec7d88,N/A,102M 18,102M,102M
Dicks Sporting Goods Park,100000007504ccb9,N/A,102M 19,102M,102M
Dicks Sporting Goods Park,100000003ee5478e,N/A,102M 20,102M,102M
Dicks Sporting Goods Park,10000000ff77888d,N/A,104W 01,104W,104W
Dicks Sporting Goods Park,10000000d33ee4ef,N/A,104W 02,104W,104W
Dicks Sporting Goods Park,10000000ef7a84a1,N/A,104W 03,104W,104W
Dicks Sporting Goods Park,1000000070243e1b,N/A,104W 04,104W,104W
Dicks Sporting Goods Park,1000000029564cb7,N/A,104W 05,104W,104W
Dicks Sporting Goods Park,10000000804971c7,N/A,110W 01,110W,110W
Dicks Sporting Goods Park,1000000001a40f5f,N/A,110W 02,110W,110W
Dicks Sporting Goods Park,10000000eff8da6e,N/A,110W 03,110W,110W
Dicks Sporting Goods Park,1000000072d2ba3d,N/A,110W 04,110W,110W
Dicks Sporting Goods Park,100000008044b974,N/A,110W 05,110W,110W
Dicks Sporting Goods Park,100000001055780e,N/A,111M 01,111M,111M
Dicks Sporting Goods Park,1000000025d47baf,N/A,111M 02,111M,111M
Dicks Sporting Goods Park,100000002196e58f,N/A,111M 03,111M,111M
Dicks Sporting Goods Park,1000000012db1b49,N/A,111M 04,111M,111M
Dicks Sporting Goods Park,1000000023bb262b,N/A,111M 05,111M,111M
Dicks Sporting Goods Park,10000000458356c3,N/A,111M 06,111M,111M
Dicks Sporting Goods Park,100000000533a266,N/A,111M 07,111M,111M
Dicks Sporting Goods Park,100000002900eb0b,N/A,111M 08,111M,111M
Dicks Sporting Goods Park,10000000f40501b3,N/A,111M 09,111M,111M
Dicks Sporting Goods Park,10000000558f365e,N/A,111M 10,111M,111M
Dicks Sporting Goods Park,100000007726d39f,N/A,111M 11,111M,111M
Dicks Sporting Goods Park,1000000048ce9d15,N/A,111M 12,111M,111M
Dicks Sporting Goods Park,10000000229252b1,N/A,111M 13,111M,111M
Dicks Sporting Goods Park,100000002689f088,N/A,111M 14,111M,111M
Dicks Sporting Goods Park,10000000dae95b9f,N/A,111M 15,111M,111M
Dicks Sporting Goods Park,1000000045410b33,N/A,111M 16,111M,111M
Dicks Sporting Goods Park,100000001c4056a8,N/A,111M 17,111M,111M
Dicks Sporting Goods Park,1000000049f593eb,N/A,111M 18,111M,111M
Dicks Sporting Goods Park,10000000a2d75c78,N/A,111M 19,111M,111M
Dicks Sporting Goods Park,10000000d4545b32,N/A,111M 20,111M,111M
Dicks Sporting Goods Park,10000000168cc0c5,N/A,114W 01,114W,115M11_114W6
Dicks Sporting Goods Park,10000000a6300d8a,N/A,114W 02,114W,115M11_114W6
Dicks Sporting Goods Park,100000000d90f542,N/A,114W 03,114W,115M11_114W6
Dicks Sporting Goods Park,10000000a73d8629,N/A,114W 04,114W,115M11_114W6
Dicks Sporting Goods Park,100000002418a447,N/A,114W 05,114W,115M11_114W6
Dicks Sporting Goods Park,100000009077126b,N/A,114W 06,114W,115M11_114W6
Dicks Sporting Goods Park,100000007691438a,N/A,115M 01,115M,115M11_114W6
Dicks Sporting Goods Park,10000000709f952e,N/A,115M 02,115M,115M11_114W6
Dicks Sporting Goods Park,10000000477d4ecf,N/A,115M 03,115M,115M11_114W6
Dicks Sporting Goods Park,10000000e9bd28e7,N/A,115M 04,115M,115M11_114W6
Dicks Sporting Goods Park,100000003b7ad638,N/A,115M 05,115M,115M11_114W6
Dicks Sporting Goods Park,100000000dffdb4f,N/A,115M 06,115M,115M11_114W6
Dicks Sporting Goods Park,10000000be01d840,N/A,115M 07,115M,115M11_114W6
Dicks Sporting Goods Park,10000000c2ca2ea1,N/A,115M 08,115M,115M11_114W6
Dicks Sporting Goods Park,100000000706a43c,N/A,115M 09,115M,115M11_114W6
Dicks Sporting Goods Park,100000005d6211f4,N/A,115M 10,115M,115M11_114W6
Dicks Sporting Goods Park,10000000b561a6f4,N/A,115M 11,115M,115M11_114W6
Dicks Sporting Goods Park,10000000e22967b7,N/A,120M 01,120M,120M11_121W6
Dicks Sporting Goods Park,10000000275ec8ba,N/A,120M 02,120M,120M11_121W6
Dicks Sporting Goods Park,100000007181fec7,N/A,120M 03,120M,120M11_121W6
Dicks Sporting Goods Park,10000000f418d905,N/A,120M 04,120M,120M11_121W6
Dicks Sporting Goods Park,1000000003cee9bf,N/A,120M 05,120M,120M11_121W6
Dicks Sporting Goods Park,10000000b9e6d1b4,N/A,120M 06,120M,120M11_121W6
Dicks Sporting Goods Park,10000000497dc3c4,N/A,120M 07,120M,120M11_121W6
Dicks Sporting Goods Park,10000000442fd248,N/A,120M 08,120M,120M11_121W6
Dicks Sporting Goods Park,10000000d564845f,N/A,120M 09,120M,120M11_121W6
Dicks Sporting Goods Park,100000006616014c,N/A,120M 10,120M,120M11_121W6
Dicks Sporting Goods Park,100000002c4694fe,N/A,120M 11,120M,120M11_121W6
Dicks Sporting Goods Park,100000007a3c25fb,N/A,121W 01,121W,120M11_121W6
Dicks Sporting Goods Park,1000000081cad27d,N/A,121W 02,121W,120M11_121W6
Dicks Sporting Goods Park,10000000277dc338,N/A,121W 03,121W,120M11_121W6
Dicks Sporting Goods Park,10000000f90308c7,N/A,121W 04,121W,120M11_121W6
Dicks Sporting Goods Park,1000000027969042,N/A,121W 05,121W,120M11_121W6
Dicks Sporting Goods Park,1000000002854323,N/A,121W 06,121W,120M11_121W6
Dicks Sporting Goods Park,100000007b456f6c,N/A,124M 01,124M,124M
Dicks Sporting Goods Park,100000007c0a06b1,N/A,124M 02,124M,124M
Dicks Sporting Goods Park,10000000ca4e320d,N/A,124M 03,124M,124M
Dicks Sporting Goods Park,100000009c8b4f71,N/A,124M 04,124M,124M
Dicks Sporting Goods Park,10000000903071ea,N/A,124M 05,124M,124M
Dicks Sporting Goods Park,100000006f7b0574,N/A,124M 06,124M,124M
Dicks Sporting Goods Park,10000000f854762b,N/A,124M 07,124M,124M
Dicks Sporting Goods Park,10000000f67e145b,N/A,124M 08,124M,124M
Dicks Sporting Goods Park,100000007d2422c6,N/A,124M 09,124M,124M
Dicks Sporting Goods Park,10000000d42ce364,N/A,124M 10,124M,124M
Dicks Sporting Goods Park,1000000036a325a1,N/A,124M 11,124M,124M
Dicks Sporting Goods Park,10000000aa6b9900,N/A,124M 12,124M,124M
Dicks Sporting Goods Park,10000000fa02f634,N/A,124M 13,124M,124M
Dicks Sporting Goods Park,1000000025c2f9af,N/A,124M 14,124M,124M
Dicks Sporting Goods Park,10000000cbe4dd5a,N/A,124M 15,124M,124M
Dicks Sporting Goods Park,10000000a39729d9,N/A,124M 16,124M,124M
Dicks Sporting Goods Park,10000000240f6cec,N/A,124M 17,124M,124M
Dicks Sporting Goods Park,10000000bc59c00a,N/A,124M 18,124M,124M
Dicks Sporting Goods Park,10000000f1e13500,N/A,124M 19,124M,124M
Dicks Sporting Goods Park,10000000a35b80da,N/A,124M 20,124M,124M
Dicks Sporting Goods Park,10000000bee61f2a,N/A,124M 21,124M,124M
Dicks Sporting Goods Park,100000000daedff3,N/A,126W 01,126W,126W
Dicks Sporting Goods Park,10000000a2eda3eb,N/A,126W 02,126W,126W
Dicks Sporting Goods Park,1000000059ce5572,N/A,126W 03,126W,126W
Dicks Sporting Goods Park,100000009f68e74c,N/A,126W 04,126W,126W
Dicks Sporting Goods Park,100000005af838c9,N/A,126W 05,126W,126W
Dicks Sporting Goods Park,1000000028e7985d,N/A,131W 01,131W,131W
Dicks Sporting Goods Park,100000007575a55d,N/A,131W 02,131W,131W
Dicks Sporting Goods Park,100000001d9d2430,N/A,131W 03,131W,131W
Dicks Sporting Goods Park,10000000fef2d605,N/A,131W 04,131W,131W
Dicks Sporting Goods Park,10000000760b05f6,N/A,131W 05,131W,131W
Dicks Sporting Goods Park,1.0000000637E+116,N/A,133M 01,133M,133M
Dicks Sporting Goods Park,100000003eff944d,N/A,133M 02,133M,133M
Dicks Sporting Goods Park,10000000273d110c,N/A,133M 03,133M,133M
Dicks Sporting Goods Park,100000000cbd8193,N/A,133M 04,133M,133M
Dicks Sporting Goods Park,1000000007aead9d,N/A,133M 05,133M,133M
Dicks Sporting Goods Park,10000000c4894409,N/A,133M 06,133M,133M
Dicks Sporting Goods Park,100000003ea311b5,N/A,133M 07,133M,133M
Dicks Sporting Goods Park,10000000e6ceae49,N/A,133M 08,133M,133M
Dicks Sporting Goods Park,100000006d94076c,N/A,133M 09,133M,133M
Dicks Sporting Goods Park,100000000e1f717a,N/A,133M 10,133M,133M
Dicks Sporting Goods Park,1000000067763dee,N/A,133M 11,133M,133M
Dicks Sporting Goods Park,10000000b3ae4e8f,N/A,133M 12,133M,133M
Dicks Sporting Goods Park,10000000a4c7cdea,N/A,133M 13,133M,133M
Dicks Sporting Goods Park,10000000ab8ec9fc,N/A,133M 14,133M,133M
Dicks Sporting Goods Park,10000000a951dc69,N/A,133M 15,133M,133M
Dicks Sporting Goods Park,10000000979b34c7,N/A,133M 16,133M,133M
Dicks Sporting Goods Park,10000000c4e511a7,N/A,133M 17,133M,133M
Dicks Sporting Goods Park,10000000b8844383,N/A,133M 18,133M,133M
Dicks Sporting Goods Park,10000000e5db0a9f,N/A,133M 19,133M,133M
Dicks Sporting Goods Park,100000000300d49a,N/A,133M 20,133M,133M
Dicks Sporting Goods Park,1000000070aedb65,N/A,BoundaryM 01,BoundaryM,BoundaryM5_W2
Dicks Sporting Goods Park,100000003620fffe,N/A,BoundaryM 02,BoundaryM,BoundaryM5_W2
Dicks Sporting Goods Park,10000000100d26d8,N/A,BoundaryM 03,BoundaryM,BoundaryM5_W2
Dicks Sporting Goods Park,1000000053f397c8,N/A,BoundaryM 04,BoundaryM,BoundaryM5_W2
Dicks Sporting Goods Park,100000000d7c384e,N/A,BoundaryM 05,BoundaryM,BoundaryM5_W2
Dicks Sporting Goods Park,10000000cacb2bce,N/A,BoundaryW 01,BoundaryW,BoundaryM5_W2
Dicks Sporting Goods Park,10000000aef82d77,N/A,BoundaryW 02,BoundaryW,BoundaryM5_W2
Dicks Sporting Goods Park,100000006a14275d,N/A,BoundaryW 03,BoundaryW,BoundaryM5_W2
Dicks Sporting Goods Park,10000000b7d7bcb2,N/A,BoundaryW 04,BoundaryW,BoundaryM5_W2
Dicks Sporting Goods Park,10000000a647f3a9,N/A,DalesM 01,DalesM,DalesM1_W1
Dicks Sporting Goods Park,100000005ccb5957,N/A,DalesW 01,DalesW,DalesM1_W1
Dicks Sporting Goods Park,1.0000000552074E+017,N/A,Suite01M 01,Suite01M,Suite01M2_W3
Dicks Sporting Goods Park,1000000053309d5e,N/A,Suite01M 02,Suite01M,Suite01M2_W3
Dicks Sporting Goods Park,10000000648e2e5a,N/A,Suite01W 01,Suite01W,Suite01M2_W3
Dicks Sporting Goods Park,100000003967bfcf,10,Suite01W 02,Suite01W,Suite01M2_W3
Dicks Sporting Goods Park,100000008c81077a,N/A,Suite01W 03,Suite01W,Suite01M2_W3
Dicks Sporting Goods Park,10000000cc27efd8,N/A,Suite17M 01,Suite17M,Suite17M2_W3
Dicks Sporting Goods Park,100000009ff73c66,N/A,Suite17M 02,Suite17M,Suite17M2_W3
Dicks Sporting Goods Park,1000000098b2024a,N/A,Suite17W 01,Suite17W,Suite17M2_W3
Dicks Sporting Goods Park,10000000398d00f0,N/A,Suite17W 02,Suite17W,Suite17M2_W3
Dicks Sporting Goods Park,10000000637b0e87,N/A,Suite17W 03,Suite17W,Suite17M2_W3
Dicks Sporting Goods Park,10000000854a3a85,N/A,SummitM 01,SummitM,SummitM2_W3
Dicks Sporting Goods Park,1000000054df8161,N/A,SummitM 02,SummitM,SummitM2_W3
Dicks Sporting Goods Park,1000000020099d09,N/A,SummitW 01,SummitW,SummitM2_W3
Dicks Sporting Goods Park,10000000ebea0b9d,N/A,SummitW 02,SummitW,SummitM2_W3
Dicks Sporting Goods Park,1000000088c4bfc2,N/A,SummitW 03,SummitW,SummitM2_W3
Enterprise Center,1000000039572959,N/A,101W 01,101 Womens,101W
Enterprise Center,10000000240cce96,N/A,101W 02,101 Womens,101W
Enterprise Center,10000000b5660cad,N/A,101W 03,101 Womens,101W
Enterprise Center,10000000308cb371,N/A,101W 04,101 Womens,101W
Enterprise Center,1000000096792592,N/A,101W 05**,101 Womens,101W
Enterprise Center,100000005dbd4199,N/A,101W 06,101 Womens,101W
Enterprise Center,1000000066f826b5,N/A,105W 01,105 Womens,105W
Enterprise Center,100000002a557017,N/A,105W 02**,105 Womens,105W
Enterprise Center,100000001a45656f,N/A,105W 03,105 Womens,105W
Enterprise Center,10000000f1268f25,N/A,105W 04,105 Womens,105W
Enterprise Center,10000000c8b9452d,N/A,105W 05,105 Womens,105W
Enterprise Center,1000000091a8a587,N/A,105W 06,105 Womens,105W
Enterprise Center,10000000adeff765,N/A,106M 01,106 Mens,106M
Enterprise Center,100000001d8fe4e4,N/A,106M 02,106 Mens,106M
Enterprise Center,1.000000027676E+021,N/A,106M 03,106 Mens,106M
Enterprise Center,10000000de0a4ea2,N/A,106M 04,106 Mens,106M
Enterprise Center,1000000053f8b68c,N/A,106M 05,106 Mens,106M
Enterprise Center,10000000cd33b527,N/A,106M 06,106 Mens,106M
Enterprise Center,10000000e9b521b3,N/A,106M 07,106 Mens,106M
Enterprise Center,10000000744b4109,N/A,106M 08,106 Mens,106M
Enterprise Center,100000003cdf5388,N/A,106M 09,106 Mens,106M
Enterprise Center,100000003d9de7f9,N/A,106M 10,106 Mens,106M
Enterprise Center,10000000f1242012,N/A,106M 11,106 Mens,106M
Enterprise Center,10000000b5811395,N/A,106M 12,106 Mens,106M
Enterprise Center,1000000006a24235,N/A,110W 01,110 Womens,110W
Enterprise Center,100000009af98bf6,N/A,110W 02,110 Womens,110W
Enterprise Center,1000000036a57855,N/A,110W 03,110 Womens,110W
Enterprise Center,1000000031f46d01,N/A,110W 04,110 Womens,110W
Enterprise Center,10000000674effc9,N/A,113M 01,113 Mens,113M
Enterprise Center,100000003a543bec,N/A,113M 02,113 Mens,113M
Enterprise Center,10000000b3dc982f,N/A,113M 03,113 Mens,113M
Enterprise Center,10000000b804077e,N/A,113M 04,113 Mens,113M
Enterprise Center,1000000061b259a1,N/A,113M 05,113 Mens,113M
Enterprise Center,100000007133f034,N/A,113M 06,113 Mens,113M
Enterprise Center,100000000bf973e6,N/A,113M 07,113 Mens,113M
Enterprise Center,10000000bc25123f,N/A,113M 08,113 Mens,113M
Enterprise Center,10000000f6c6bbca,N/A,113M 09,113 Mens,113M
Enterprise Center,100000008e0fdba5,N/A,113M 10,113 Mens,113M
Enterprise Center,10000000d4e4abeb,N/A,113M 11,113 Mens,113M
Enterprise Center,10000000ef94b105,N/A,113M 12,113 Mens,113M
Enterprise Center,10000000a518296e,N/A,114W 01,114 Womens,114W
Enterprise Center,10000000d8318439,N/A,114W 02,114 Womens,114W
Enterprise Center,1000000056a45485,N/A,114W 03,114 Womens,114W
Enterprise Center,100000000e2f7850,N/A,114W 04,114 Womens,114W
Enterprise Center,10000000ff07a624,N/A,114W 05**,114 Womens,114W
Enterprise Center,10000000cb404757,N/A,114W 06,114 Womens,114W
Enterprise Center,100000006c485205,N/A,118W 01,118 Womens,118W
Enterprise Center,100000001738ba25,N/A,118W 02,118 Womens,118W
Enterprise Center,1000000078c9c11f,N/A,118W 03,118 Womens,118W
Enterprise Center,10000000ca8e254d,N/A,118W 04,114 Womens,118W
Enterprise Center,10000000ab11d571,N/A,118W 05,118 Womens,118W
Enterprise Center,100000005344983b,N/A,118W 06,118 Womens,118W
Enterprise Center,10000000ab810e8e,N/A,119M 01,119 Mens,119M
Enterprise Center,10000000a8d70da8,N/A,119M 02,119 Mens,119M
Enterprise Center,100000001dc5a4e3,N/A,119M 03,119 Mens,119M
Enterprise Center,100000001485cbdd,N/A,119M 04,119 Mens,119M
Enterprise Center,10000000f96dfcb9,N/A,119M 05,119 Mens,119M
Enterprise Center,10000000b15016cf,N/A,119M 06,119 Mens,119M
Enterprise Center,100000002a591f44,N/A,119M 07,119 Mens,119M
Enterprise Center,10000000b5e7a5e3,N/A,119M 08,119 Mens,119M
Enterprise Center,10000000f3723866,N/A,119M 09,119 Mens,119M
Enterprise Center,10000000d01db46a,N/A,119M 10,119 Mens,119M
Enterprise Center,10000000028f99da,N/A,119M 11,119 Mens,119M
Enterprise Center,100000003dfabfd1,N/A,119M 12,119 Mens,119M
Enterprise Center,10000000349f5d91,N/A,123W 01,123 Womens,123W
Enterprise Center,1000000057f1ee56,N/A,123W 02,123 Womens,123W
Enterprise Center,100000002258f6d7,N/A,123W 03,123 Womens,123W
Enterprise Center,10000000aebbeef6,N/A,123W 04,123 Womens,123W
Enterprise Center,10000000881da16b,N/A,126M 01,126 Mens,126M
Enterprise Center,10000000864b206b,N/A,126M 02,126 Mens,126M
Enterprise Center,1000000044dc29a0,N/A,126M 03,126 Mens,126M
Enterprise Center,100000002280f46e,N/A,126M 04,126 Mens,126M
Enterprise Center,10000000e77bb87e,N/A,126M 05,126 Mens,126M
Enterprise Center,10000000974dcdb3,N/A,126M 06,126 Mens,126M
Enterprise Center,10000000b107fb1c,N/A,126M 07,126 Mens,126M
Enterprise Center,1000000028b99ced,N/A,126M 08,126 Mens,126M
Enterprise Center,10000000041290f1,N/A,126M 09,126 Mens,126M
Enterprise Center,10000000e46e71f0,N/A,126M 10,126 Mens,126M
Enterprise Center,100000005f7f4111,N/A,126M 11,126 Mens,126M
Enterprise Center,10000000e54d1a74,N/A,126M 12,126 Mens,126M
Enterprise Center,0000000072257ff7,N/A,307M 001,307 Mens,307M
Enterprise Center,000000008c08acdb,N/A,307M 002,307 Mens,307M
Enterprise Center,00000000afe44f35,N/A,307M 003,307 Mens,307M
Enterprise Center,32083300000000,N/A,307M 004,307 Mens,307M
Enterprise Center,00000000de090387,N/A,307M 005,307 Mens,307M
Enterprise Center,00000000b15e9ef2,N/A,307M 006,307 Mens,307M
Enterprise Center,00000000d52bc6de,N/A,307M 007,307 Mens,307M
Enterprise Center,00000000aa12f100,N/A,307M 008,307 Mens,307M
Enterprise Center,000000000aa52a3c,N/A,308W 001,308 Womens,308W
Enterprise Center,000000009a966e8e,N/A,308W 002,308 Womens,308W
Enterprise Center,00000000fd17e42c,N/A,308W 003,308 Womens,308W
Enterprise Center,00000000a677f22a,N/A,308W 004,308 Womens,308W
Enterprise Center,000000005ef3f1d8,N/A,313M 001,313 Mens,313M
Enterprise Center,000000006fd47f41,N/A,313M 002,313 Mens,313M
Enterprise Center,0000000028b61eae,N/A,313M 003,313 Mens,313M
Enterprise Center,00000000836dca69,N/A,313M 004,313 Mens,313M
Enterprise Center,00000000a1b85163,N/A,313M 005,313 Mens,313M
Enterprise Center,00000000622f1b51,N/A,313M 006,313 Mens,313M
Enterprise Center,000000008b2afd41,N/A,313M 007,313 Mens,313M
Enterprise Center,0000000011a28d41,N/A,313M 008,313 Mens,313M
Enterprise Center,00000000b057b2b5,N/A,313M 009,313 Mens,313M
Enterprise Center,00000000b996f7d4,N/A,314W 001,314 Womens,314W
Enterprise Center,000000001192169d,N/A,314W 002,314 Womens,314W
Enterprise Center,0000000005ae1e5c,N/A,314W 003,314 Womens,314W
Enterprise Center,00000000ec700daa,N/A,314W 004,314 Womens,314W
Enterprise Center,00000000986b140b,N/A,314W 005,314 Womens,314W
Enterprise Center,00000000c1ff87c4,N/A,314W 006,314 Womens,314W
Enterprise Center,00000000d72cc832,N/A,323W 001,323 Womens,323W
Enterprise Center,00000000deb5942a,N/A,323W 002,323 Womens,323W
Enterprise Center,000000002e26f77f,N/A,323W 003,323 Womens,323W
Enterprise Center,00000000676bf345,N/A,323W 004,323 Womens,323W
Enterprise Center,00000000a69b76e4,N/A,323W 005,323 Womens,323W
Enterprise Center,00000000cf5f9c14,N/A,324M 001,324 Mens,324M
Enterprise Center,00000000b603f967,N/A,324M 002,324 Mens,324M
Enterprise Center,000000008f63bcf8,N/A,324M 003,324 Mens,324M
Enterprise Center,000000002654e00a,N/A,324M 004,324 Mens,324M
Enterprise Center,000000004e07d085,N/A,324M 005,324 Mens,324M
Enterprise Center,0000000096c2b0d2,N/A,324M 006,324 Mens,324M
Enterprise Center,0000000020ff6ae8,N/A,324M 007,324 Mens,324M
Enterprise Center,000000001e1568b4,N/A,324M 008,324 Mens,324M
Enterprise Center,00000000c34f3f52,N/A,332M 001,332 Mens,332M
Enterprise Center,00000000258ea3b2,N/A,332M 002,332 Mens,332M
Enterprise Center,0000000065f682f7,N/A,332M 003,332 Mens,332M
Enterprise Center,00000000c72140dc,N/A,332M 004,332 Mens,332M
Enterprise Center,00000000aa688685,N/A,332M 005,332 Mens,332M
Enterprise Center,00000000d531db16,N/A,332M 006,332 Mens,332M
Enterprise Center,00000000899afad9,N/A,332M 007,332 Mens,332M
Enterprise Center,00000000831e14b4,N/A,334W 001,334 Womens,334W
Enterprise Center,00000000674a6fde,N/A,334W 002,334 Womens,334W
Enterprise Center,000000008bf5655f,N/A,334W 003,334 Womens,334W
Grand Casino Arena,00000000fb42a129,N/A,105M 01,105M,105M_1-6
Grand Casino Arena,00000000c13a47ad,4,105M 02,105M,105M_1-6
Grand Casino Arena,00000000e788d6b0,N/A,105M 03,105M,105M_1-6
Grand Casino Arena,0000000081c9b482,N/A,105M 04,105M,105M_1-6
Grand Casino Arena,000000007be88bef,N/A,105M 05,105M,105M_1-6
Grand Casino Arena,000000002511c8af,N/A,105M 06,105M,105M_1-6
Grand Casino Arena,000000002a55753d,N/A,105M 07,105M,105M_7-12
Grand Casino Arena,000000003ac3e855,3,105M 08,105M,105M_7-12
Grand Casino Arena,000000002188944d,6,105M 09,105M,105M_7-12
